Words,Sentiment Score,Year
while,0.0,2010
improv,0.0,2010
those,0.0,2010
serv,0.0,2010
it,0.0,2010
import,0.0,2010
rememb,0.0,2010
remain,0.0,2010
one,0.0,2010
most,0.0,2010
effect,0.0,2010
treat,0.4019,2010
so,0.0,2010
well,0.2732,2010
posit,0.0,2010
slow,0.0,2010
even,0.0,2010
encourag,0.0,2010
appropri,0.0,2010
prescript,0.0,2010
drug,0.0,2010
ll,0.0,2010
have,0.0,2010
more,0.0,2010
say,0.0,2010
on,0.0,2010
topic,0.0,2010
busi,0.0,2010
general,0.0,2010
let,0.0,2010
start,0.0,2010
though,0.0,2010
with,0.0,2010
quick,0.0,2010
overview,0.0,2010
past,0.0,2010
year,0.0,2010
perform,0.0,2010
financi,0.0,2010
commit,0.296,2010
enhanc,0.0,2010
valu,0.0,2010
mark,0.0,2010
substanti,0.0,2010
progress,0.4215,2010
for,0.0,2010
despit,0.0,2010
continu,0.0,2010
challeng,0.0,2010
broader,0.0,2010
economi,0.0,2010
success,0.5719,2010
navig,0.0,2010
consum,0.0,2010
environ,0.0,2010
deliv,0.0,2010
industri,0.0,2010
lead,0.0,2010
same,0.0,2010
store,0.0,2010
sale,0.0,2010
solid,0.1531,2010
expens,0.0,2010
control,0.0,2010
oper,0.0,2010
margin,0.0,2010
howev,0.0,2010
face,0.0,2010
some,0.0,2010
document,0.0,2010
disappoint,-0.4019,2010
revenu,0.0,2010
decreas,0.0,2010
incom,0.0,2010
from,0.0,2010
down,0.0,2010
talk,0.0,2010
about,0.0,2010
step,0.0,2010
take,0.0,2010
turn,0.0,2010
share,0.296,2010
return,0.0,2010
trail,0.0,2010
sp,0.0,2010
index,0.0,2010
below,0.0,2010
market,0.0,2010
unaccept,0.0,2010
top,0.2023,2010
prioriti,0.0,2010
accord,0.0,2010
than,0.0,2010
last,0.0,2010
combin,0.0,2010
repurchas,0.0,2010
dividend,0.0,2010
were,0.0,2010
abl,0.0,2010
free,0.5106,2010
cash,0.0,2010
flow,0.0,2010
generat,0.0,2010
capabl,0.0,2010
come,0.0,2010
due,0.0,2010
anticip,0.0,2010
earn,0.0,2010
sweep,0.0,2010
initi,0.0,2010
work,0.0,2010
capit,0.0,2010
disciplin,0.0,2010
approach,0.0,2010
deploy,0.0,2010
achiev,0.0,2010
highest,0.0,2010
possibl,0.0,2010
invest,0.0,2010
high,0.0,2010
project,0.0,2010
end,0.0,2010
recent,0.0,2010
rais,0.0,2010
by,0.0,2010
make,0.0,2010
eighth,0.0,2010
consecut,0.0,2010
also,0.0,2010
complet,0.0,2010
author,0.0,2010
dure,0.0,2010
long,0.0,2010
term,0.0,2010
agreement,0.4939,2010
aetna,0.0,2010
highlight,0.34,2010
strong,0.5106,2010
sell,0.0,2010
season,0.0,2010
said,0.0,2010
begun,0.0,2010
after,0.0,2010
experienc,0.0,2010
contract,0.0,2010
loss,-0.3182,2010
undertook,0.0,2010
seri,0.0,2010
stabil,0.0,2010
re,0.0,2010
establish,0.0,2010
momentum,0.0,2010
veri,0.0,2010
pleas,0.0,2010
date,0.0,2010
client,0.0,2010
satisfact,0.0,2010
rate,0.0,2010
saw,0.0,2010
retent,0.0,2010
ad,0.0,2010
amount,0.0,2010
net,0.0,2010
new,0.0,2010
approxim,0.0,2010
off,0.0,2010
good,0.4404,2010
enthusiast,0.3612,2010
which,0.0,2010
enjoy,0.4939,2010
mainten,0.0,2010
choic,0.0,2010
give,0.0,2010
particip,0.0,2010
option,0.0,2010
fill,0.0,2010
their,0.0,2010
day,0.0,2010
mail,0.0,2010
or,0.0,2010
conveni,0.0,2010
has,0.0,2010
been,0.0,2010
adopt,0.1779,2010
repres,0.0,2010
million,0.0,2010
live,0.0,2010
generic,0.0,2010
therapi,0.0,2010
newest,0.0,2010
addit,0.0,2010
advisortm,0.0,2010
alreadi,0.0,2010
book,0.0,2010
land,0.0,2010
juli,0.0,2010
broad,0.0,2010
rang,0.0,2010
watersh,0.0,2010
extens,0.0,2010
competit,0.0,2010
bid,0.0,2010
process,0.0,2010
valid,0.0,2010
core,0.0,2010
bring,0.0,2010
tabl,0.0,2010
onc,0.0,2010
fulli,0.0,2010
implement,0.0,2010
administ,0.0,2010
spend,0.0,2010
manag,0.0,2010
network,0.0,2010
custom,0.0,2010
function,0.0,2010
handl,0.0,2010
purchas,0.0,2010
inventori,0.0,2010
fulfil,0.0,2010
order,0.0,2010
upsid,0.0,2010
relationship,0.0,2010
time,0.0,2010
togeth,0.0,2010
uniqu,0.0,2010
product,0.0,2010
overal,0.0,2010
outcom,0.0,2010
streamlin,0.0,2010
strateg,0.0,2010
declin,0.0,2010
profit,0.4404,2010
optimist,0.5267,2010
prospect,0.296,2010
believ,0.0,2010
among,0.0,2010
workflow,0.0,2010
align,0.0,2010
structur,0.0,2010
close,0.0,2010
peer,0.0,2010
like,0.3612,2010
side,0.0,2010
went,0.0,2010
acquisit,0.0,2010
activ,0.0,2010
there,0.0,2010
still,0.0,2010
mani,0.0,2010
build,0.0,2010
cohes,0.0,2010
effici,0.0,2010
organ,0.0,2010
save,0.4939,2010
between,0.0,2010
all,0.0,2010
place,0.0,2010
expand,0.3182,2010
exampl,0.0,2010
look,0.0,2010
current,0.0,2010
guidelin,0.0,2010
facilit,0.0,2010
across,0.0,2010
fastest,0.0,2010
sector,0.0,2010
compound,0.0,2010
five,0.0,2010
player,0.0,2010
medicar,0.0,2010
part,0.0,2010
d,0.0,2010
area,0.0,2010
space,0.0,2010
reflect,0.0,2010
negat,0.0,2010
impact,0.0,2010
regulatori,0.0,2010
chang,0.0,2010
view,0.0,2010
portion,0.0,2010
receiv,0.0,2010
coverag,0.0,2010
under,0.0,2010
driven,0.0,2010
demograph,0.0,2010
shift,0.0,2010
retire,0.0,2010
fact,0.0,2010
averag,0.0,2010
size,0.0,2010
dedic,0.0,2010
group,0.0,2010
focus,0.0,2010
effort,0.0,2010
announc,0.0,2010
acquir,0.0,2010
univers,0.0,2010
american,0.0,2010
transact,0.0,2010
subject,0.0,2010
customari,0.0,2010
condit,0.0,2010
includ,0.0,2010
approv,0.0,2010
upon,0.0,2010
would,0.0,2010
doubl,0.0,2010
pdp,0.0,2010
three,0.0,2010
deal,0.0,2010
second,0.0,2010
quarter,0.0,2010
advantag,0.0,2010
ma,0.0,2010
pd,0.0,2010
begin,0.0,2010
both,0.0,2010
januari,0.0,2010
advisor,0.0,2010
excit,0.0,2010
rollout,0.0,2010
earli,0.0,2010
add,0.0,2010
leverag,0.0,2010
presenc,0.0,2010
major,0.0,2010
pbms,0.0,2010
ill,-0.4215,2010
patient,0.0,2010
counsel,0.0,2010
gap,0.0,2010
research,0.0,2010
pilot,0.0,2010
diabet,0.0,2010
twice,0.0,2010
phone,0.0,2010
alon,0.0,2010
use,0.0,2010
employe,0.0,2010
whose,0.0,2010
preval,0.0,2010
could,0.0,2010
expenditur,0.0,2010
ve,0.0,2010
develop,0.0,2010
technolog,0.0,2010
rule,0.0,2010
engag,0.0,2010
engin,0.0,2010
identifi,0.0,2010
whether,0.0,2010
they,0.0,2010
interact,0.0,2010
web,0.0,2010
site,0.0,2010
made,0.0,2010
intervent,0.0,2010
futur,0.0,2010
address,0.0,2010
issu,0.0,2010
coronari,0.0,2010
arteri,0.0,2010
congest,0.0,2010
heart,0.0,2010
failur,0.0,2010
hypertens,0.0,2010
hyperlipidemia,0.0,2010
meet,0.0,2010
demand,-0.128,2010
anoth,0.0,2010
aspect,0.0,2010
proposit,0.0,2010
flu,-0.3818,2010
vaccin,0.0,2010
visit,0.0,2010
realli,0.0,2010
incorpor,0.0,2010
into,0.0,2010
move,0.0,2010
formal,0.0,2010
affili,0.0,2010
countri,0.0,2010
system,0.0,2010
collabor,0.0,2010
reform,0.0,2010
peopl,0.0,2010
who,0.0,2010
uninsur,0.0,2010
mitig,0.0,2010
shortag,0.0,2010
primari,0.0,2010
physician,0.0,2010
exist,0.0,2010
enter,0.0,2010
sever,0.0,2010
measur,0.0,2010
character,0.0,2010
outperform,0.0,2010
competitor,0.0,2010
gain,0.5267,2010
similar,0.0,2010
led,0.0,2010
front,0.0,2010
drugstor,0.0,2010
chain,0.0,2010
per,0.0,2010
squar,0.0,2010
foot,0.0,2010
open,0.0,2010
reloc,0.0,2010
factor,0.0,2010
equat,0.0,2010
footag,0.0,2010
each,0.0,2010
cvspharmaci,0.0,2010
nine,0.0,2010
two,0.0,2010
exceed,0.0,2010
first,0.0,2010
memphi,0.0,2010
omaha,0.0,2010
st,0.0,2010
loui,0.0,2010
puerto,0.0,2010
rico,0.0,2010
earlier,0.0,2010
key,0.0,2010
metric,0.0,2010
brand,0.0,2010
categori,0.0,2010
mix,0.0,2010
extracar,0.0,2010
loyalti,0.0,2010
card,0.0,2010
volum,0.0,2010
given,0.0,2010
larger,0.0,2010
do,0.0,2010
not,0.0,2010
them,0.0,2010
match,0.0,2010
further,0.0,2010
ambiti,0.0,2010
now,0.0,2010
account,0.0,2010
penetr,0.0,2010
reach,0.0258,2010
counter,0.0,2010
groceri,0.0,2010
item,0.0,2010
less,0.0,2010
shopper,0.0,2010
creat,0.0,2010
higher,0.0,2010
excel,0.4588,2010
certain,0.2732,2010
appeal,0.0,2010
econom,0.0,2010
moreov,0.0,2010
far,0.0,2010
just,0.0,2010
me,0.0,2010
too,0.0,2010
version,0.0,2010
actual,0.0,2010
introduc,0.0,2010
either,0.0,2010
no,-0.296,2010
equival,0.0,2010
innov,0.0,2010
packag,0.0,2010
price,0.0,2010
sensit,0.0,2010
main,0.0,2010
driver,0.0,2010
boast,0.0,2010
cardhold,0.0,2010
extra,0.0,2010
buck,0.0,2010
reward,0.5719,2010
experi,0.0,2010
enabl,0.0,2010
fine,0.2023,2010
tune,0.0,2010
promot,0.0,2010
advertis,0.0,2010
dollar,0.0,2010
tailor,0.0,2010
merchandis,0.0,2010
best,0.6369,2010
suit,0.0,2010
need,0.0,2010
layout,0.0,2010
reconfigur,0.0,2010
urban,0.0,2010
cluster,0.0,2010
where,0.0,2010
assist,0.0,2010
self,0.0,2010
checkout,0.0,2010
speed,0.0,2010
such,0.0,2010
babi,0.0,2010
convert,0.0,2010
promis,0.0,2010
trip,0.0,2010
up,0.0,2010
test,0.0,2010
phase,0.0,2010
forward,0.0,2010
inform,0.0,2010
delv,0.0,2010
dynam,0.0,2010
few,0.0,2010
set,0.0,2010
infrastructur,0.0,2010
be,0.0,2010
want,0.0772,2010
thank,0.3612,2010
colleagu,0.0,2010
hard,-0.1027,2010
sens,0.0,2010
urgenc,0.0,2010
workforc,0.0,2010
right,0.0,2010
asset,0.3612,2010
extrem,0.0,2010
play,0.34,2010
role,0.0,2010
evolv,0.0,2010
behalf,0.0,2010
board,0.0,2010
director,0.0,2010
devot,0.0,2010
associ,0.0,2010
you,0.0,2010
your,0.0,2010
support,0.4019,2010
dear,0.3818,2011
fellow,0.0,2011
sharehold,0.0,2011
was,0.0,2011
a,0.0,2011
year,0.0,2011
of,0.0,2011
great,0.6249,2011
accomplish,0.4215,2011
for,0.0,2011
our,0.0,2011
compani,0.0,2011
we,0.0,2011
set,0.0,2011
challeng,0.0,2011
yet,0.0,2011
achiev,0.0,2011
goal,0.0,2011
and,0.0,2011
deliv,0.0,2011
on,0.0,2011
promis,0.0,2011
execut,0.0,2011
success,0.5719,2011
number,0.0772,2011
initi,0.0,2011
across,0.0,2011
the,0.0,2011
enterpris,0.0,2011
report,0.0,2011
solid,0.1531,2011
result,0.0,2011
in,0.0,2011
difficult,-0.3612,2011
environ,0.0,2011
retail,0.0,2011
busi,0.0,2011
continu,0.0,2011
to,0.0,2011
experi,0.0,2011
top,0.2023,2011
bottom,0.0,2011
line,0.0,2011
growth,0.3818,2011
steadi,0.0,2011
share,0.296,2011
gain,0.5267,2011
pharmaci,0.0,2011
benefit,0.4588,2011
manag,0.0,2011
or,0.0,2011
pbm,0.0,2011
enjoy,0.4939,2011
strong,0.5106,2011
revenu,0.0,2011
anoth,0.0,2011
veri,0.0,2011
sell,0.0,2011
season,0.0,2011
signific,0.0,2011
progress,0.4215,2011
key,0.0,2011
minuteclin,0.0,2011
expans,0.0,2011
it,0.0,2011
footprint,0.0,2011
servic,0.0,2011
reach,0.0258,2011
breakeven,0.0,2011
profit,0.4404,2011
at,0.0,2011
end,0.0,2011
as,0.0,2011
expect,0.0,2011
uniqu,0.0,2011
integr,0.0,2011
offer,0.0,2011
are,0.0,2011
evolv,0.0,2011
traction,0.0,2011
marketplac,0.0,2011
close,0.0,2011
chapter,0.0,2011
look,0.0,2011
forward,0.0,2011
what,0.0,2011
lie,0.0,2011
ahead,0.0,2011
optimist,0.5267,2011
that,0.0,2011
can,0.0,2011
even,0.0,2011
better,0.4404,2011
current,0.0,2011
health,0.0,2011
care,0.4939,2011
landscap,0.0,2011
present,0.0,2011
see,0.0,2011
opportun,0.0,2011
among,0.0,2011
them,0.0,2011
overal,0.0,2011
cost,0.0,2011
will,0.0,2011
increas,0.0,2011
scenario,0.0,2011
be,0.0,2011
intensifi,0.0,2011
by,0.0,2011
an,0.0,2011
age,0.0,2011
popul,0.0,2011
exacerb,0.0,2011
this,0.0,2011
problem,-0.4019,2011
is,0.0,2011
insuffici,0.0,2011
focus,0.0,2011
lower,-0.296,2011
solut,0.0,2011
such,0.0,2011
prevent,0.0258,2011
prescript,0.0,2011
drug,0.0,2011
adher,0.0,2011
consum,0.0,2011
also,0.0,2011
take,0.0,2011
greater,0.3612,2011
account,0.0,2011
their,0.0,2011
direct,0.0,2011
market,0.0,2011
grow,0.0,2011
employ,0.0,2011
shift,0.0,2011
more,0.0,2011
onto,0.0,2011
employe,0.0,2011
moreov,0.0,2011
shortag,0.0,2011
primari,0.0,2011
doctor,0.0,2011
combin,0.0,2011
with,0.0,2011
demand,-0.128,2011
major,0.0,2011
physician,0.0,2011
suit,0.0,2011
asset,0.3612,2011
well,0.2732,2011
align,0.0,2011
address,0.0,2011
bring,0.0,2011
these,0.0,2011
issu,0.0,2011
ve,0.0,2011
industri,0.0,2011
lead,0.0,2011
clinic,0.0,2011
follow,0.0,2011
mind,0.0,2011
provid,0.0,2011
access,0.0,2011
conveni,0.0,2011
choic,0.0,2011
improv,0.0,2011
those,0.0,2011
serv,0.0,2011
capit,0.0,2011
cvs,0.0,2011
caremark,0.0,2011
s,0.0,2011
best,0.6369,2011
class,0.0,2011
power,0.0,2011
entiti,0.0,2011
call,0.0,2011
sweet,0.4588,2011
spot,0.0,2011
posit,0.0,2011
reinvent,0.0,2011
valu,0.0,2011
strategi,0.0,2011
have,0.0,2011
advanc,0.0,2011
taken,0.0,2011
hold,0.0,2011
excit,0.0,2011
about,0.0,2011
effort,0.0,2011
befor,0.0,2011
get,0.0,2011
into,0.0,2011
detail,0.0,2011
i,0.0,2011
want,0.0772,2011
quick,0.0,2011
overview,0.0,2011
past,0.0,2011
perform,0.0,2011
saw,0.0,2011
earn,0.0,2011
coupl,0.0,2011
record,0.0,2011
free,0.5106,2011
cash,0.0,2011
flow,0.0,2011
net,0.0,2011
percent,0.0,2011
billion,0.0,2011
adjust,0.0,2011
ep,0.0,2011
rise,0.0,2011
exclud,0.0,2011
three,0.0,2011
cent,0.0,2011
per,0.0,2011
tax,0.0,2011
prior,0.0,2011
return,0.0,2011
outpac,0.0,2011
peer,0.0,2011
broader,0.0,2011
sp,0.0,2011
index,0.0,2011
dow,0.0,2011
jone,0.0,2011
averag,0.0,2011
extrem,0.0,2011
pleas,0.0,2011
high,0.0,2011
further,0.0,2011
enhanc,0.0,2011
roadmap,0.0,2011
consist,0.0,2011
main,0.0,2011
pillar,0.0,2011
drive,0.0,2011
product,0.0,2011
long,0.0,2011
term,0.0,2011
generat,0.0,2011
level,0.0,2011
disciplin,0.0,2011
alloc,0.0,2011
over,0.0,2011
total,0.0,2011
last,0.0,2011
near,0.0,2011
doubl,0.0,2011
through,0.0,2011
repurchas,0.0,2011
dividend,0.0,2011
state,0.0,2011
target,0.0,2011
substanti,0.0,2011
next,0.0,2011
sever,0.0,2011
plan,0.0,2011
use,0.0,2011
avail,0.0,2011
invest,0.0,2011
payout,0.0,2011
ratio,0.0,2011
client,0.0,2011
retent,0.0,2011
rate,0.0,2011
new,0.0,2011
contract,0.0,2011
award,0.5423,2011
deep,0.0,2011
expertis,0.0,2011
allow,0.2263,2011
us,0.0,2011
wide,0.0,2011
spectrum,0.0,2011
inclass,0.0,2011
innov,0.0,2011
design,0.0,2011
member,0.0,2011
specialti,0.0,2011
leader,0.0,2011
medicar,0.0,2011
part,0.0,2011
d,0.0,2011
make,0.0,2011
no,-0.296,2011
player,0.0,2011
fast,0.0,2011
space,0.0,2011
made,0.0,2011
tremend,0.0,2011
stride,0.0,2011
approxim,0.0,2011
while,0.0,2011
book,0.0,2011
grew,0.0,2011
yield,0.0,2011
than,0.0,2011
sale,0.0,2011
along,0.0,2011
relat,0.0,2011
came,0.0,2011
purchas,0.0,2011
univers,0.0,2011
american,0.0,2011
fact,0.0,2011
when,0.0,2011
acquisit,0.0,2011
compar,0.0,2011
same,0.0,2011
time,0.0,2011
been,0.0,2011
streamlin,0.0,2011
announc,0.0,2011
which,0.0,2011
save,0.4939,2011
cumul,0.0,2011
has,0.0,2011
risen,0.0,2011
annual,0.0,2011
two,0.0,2011
stand,0.0,2011
from,0.0,2011
sector,0.0,2011
robust,0.34,2011
rd,0.0,2011
pipelin,0.0,2011
numer,0.0,2011
help,0.4019,2011
spend,0.0,2011
effect,0.0,2011
govern,0.0,2011
rapid,0.0,2011
emerg,0.0,2011
payor,0.0,2011
unit,0.0,2011
forecast,0.0,2011
vari,0.0,2011
but,0.0,2011
medicaid,0.0,2011
could,0.0,2011
pay,-0.1027,2011
much,0.0,2011
third,0.0,2011
all,0.0,2011
up,0.0,2011
one,0.0,2011
today,0.0,2011
model,0.0,2011
build,0.0,2011
leadership,0.0,2011
ofth,0.0,2011
art,0.0,2011
system,0.0,2011
handl,0.0,2011
regulatori,0.0,2011
requir,0.0,2011
complex,0.0,2011
re,0.0,2011
role,0.0,2011
pharmacist,0.0,2011
superior,0.5423,2011
custom,0.0,2011
patient,0.0,2011
store,0.0,2011
push,0.0,2011
cvspharmaci,0.0,2011
six,0.0,2011
percentag,0.0,2011
point,0.0,2011
sinc,0.0,2011
credit,0.3818,2011
goe,0.0,2011
who,0.0,2011
seen,0.0,2011
tradit,0.0,2011
dispens,0.0,2011
medic,0.0,2011
expand,0.3182,2011
train,0.0,2011
administ,0.0,2011
vaccin,0.0,2011
consult,0.0,2011
gap,0.0,2011
base,0.0,2011
data,0.0,2011
now,0.0,2011
highest,0.0,2011
critic,-0.2732,2011
becaus,0.0,2011
non,0.0,2011
not,0.0,2011
refil,0.0,2011
estim,0.0,2011
avoid,-0.296,2011
generic,0.0,2011
gdr,0.0,2011
money,0.0,2011
although,0.0,2011
price,0.0,2011
exert,0.0,2011
drag,-0.2263,2011
margin,0.0,2011
horizon,0.0,2011
alon,0.0,2011
brand,0.0,2011
lose,-0.4019,2011
patent,0.0,2011
protect,0.3818,2011
extracar,0.0,2011
loyalti,0.0,2011
program,0.0,2011
cluster,0.0,2011
remain,0.0,2011
driver,0.0,2011
front,0.0,2011
turn,0.0,2011
weak,-0.4404,2011
economi,0.0,2011
introduc,0.0,2011
back,0.0,2011
competit,0.0,2011
advantag,0.0,2011
largest,0.0,2011
most,0.0,2011
million,0.0,2011
activ,0.0,2011
household,0.0,2011
enabl,0.0,2011
promot,0.0,2011
leverag,0.0,2011
insight,0.0,2011
launch,0.0,2011
date,0.0,2011
remodel,0.0,2011
tailor,0.0,2011
merchandis,0.0,2011
mix,0.0,2011
way,0.0,2011
shop,0.0,2011
certain,0.2732,2011
locat,0.0,2011
roll,0.0,2011
out,0.0,2011
differ,0.0,2011
thus,0.0,2011
far,0.0,2011
food,0.0,2011
urban,0.0,2011
each,0.0,2011
segment,0.0,2011
approach,0.0,2011
addit,0.0,2011
prototyp,0.0,2011
fleet,0.0,2011
meet,0.0,2011
need,0.0,2011
categori,0.0,2011
repres,0.0,2011
less,0.0,2011
expens,0.0,2011
shopper,0.0,2011
creat,0.0,2011
higher,0.0,2011
believ,0.0,2011
few,0.0,2011
ad,0.0,2011
hundr,0.0,2011
everi,0.0,2011
real,0.0,2011
estat,0.0,2011
pace,0.0,2011
open,0.0,2011
reloc,0.0,2011
factor,0.0,2011
equat,0.0,2011
squar,0.0,2011
footag,0.0,2011
broaden,0.0,2011
scope,0.0,2011
forg,0.0,2011
strateg,0.0,2011
allianc,0.0,2011
oper,0.0,2011
play,0.34,2011
import,0.0,2011
some,0.0,2011
countri,0.0,2011
nation,0.0,2011
situat,0.0,2011
onli,0.0,2011
obtain,0.0,2011
insur,0.0,2011
begin,0.0,2011
reform,0.0,2011
monitor,0.0,2011
chronic,0.0,2011
condit,0.0,2011
diabet,0.0,2011
hypertens,0.0,2011
cholesterol,0.0,2011
partner,0.0,2011
educ,0.0,2011
diseas,0.0,2011
formal,0.0,2011
affili,0.0,2011
establish,0.0,2011
togeth,0.0,2011
hospit,0.0,2011
collabor,0.0,2011
director,0.0,2011
local,0.0,2011
electron,0.0,2011
futur,0.0,2011
organ,0.0,2011
outgrowth,0.0,2011
just,0.0,2011
ani,0.0,2011
competitor,0.0,2011
match,0.0,2011
exampl,0.0,2011
chang,0.0,2011
structur,0.0,2011
reduc,0.0,2011
elimin,0.0,2011
co,0.0,2011
encourag,0.0,2011
behavior,0.0,2011
highqual,0.0,2011
flu,-0.3818,2011
biometr,0.0,2011
screen,0.0,2011
inject,0.0,2011
site,0.0,2011
employerbas,0.0,2011
embrac,0.0,2011
broad,0.0,2011
face,0.0,2011
engag,0.0,2011
unmatch,0.0,2011
outcom,0.0,2011
compel,0.0,2011
prove,0.0,2011
efficaci,0.0,2011
enthusiast,0.3612,2011
respons,0.0,2011
advisor,0.0,2011
had,0.0,2011
live,0.0,2011
enrol,0.0,2011
after,0.0,2011
presenc,0.0,2011
pbms,0.0,2011
ill,-0.4215,2011
counsel,0.0,2011
particular,0.0,2011
mani,0.0,2011
opt,0.0,2011
implement,0.0,2011
mainten,0.0,2011
give,0.0,2011
qualifi,0.0,2011
particip,0.0,2011
option,0.0,2011
fill,0.0,2011
day,0.0,2011
mail,0.0,2011
order,0.0,2011
someth,0.0,2011
standalon,0.0,2011
adopt,0.1779,2011
januari,0.0,2011
dub,0.0,2011
potenti,0.0,2011
tripl,0.0,2011
easier,0.4215,2011
you,0.0,2011
read,0.0,2011
page,0.0,2011
must,0.0,2011
extend,0.1779,2011
my,0.0,2011
thank,0.3612,2011
colleagu,0.0,2011
collect,0.0,2011
dedic,0.0,2011
commit,0.296,2011
communiti,0.0,2011
behalf,0.0,2011
board,0.0,2011
your,0.0,2011
support,0.4019,2011
vision,0.25,2011
first,0.0,2011
ceo,0.0,2011
am,0.0,2011
confid,0.0,2011
come,0.0,2011
dear,0.3818,2012
fellow,0.0,2012
sharehold,0.0,2012
health,0.0,2012
care,0.4939,2012
deliveri,0.0,2012
in,0.0,2012
the,0.0,2012
unit,0.0,2012
state,0.0,2012
is,0.0,2012
go,0.0,2012
through,0.0,2012
a,0.0,2012
period,0.0,2012
of,0.0,2012
rapid,0.0,2012
chang,0.0,2012
this,0.0,2012
be,0.0,2012
driven,0.0,2012
primarili,0.0,2012
by,0.0,2012
ongo,0.0,2012
implement,0.0,2012
afford,0.0,2012
act,0.0,2012
along,0.0,2012
with,0.0,2012
an,0.0,2012
age,0.0,2012
popul,0.0,2012
grow,0.0,2012
shortag,0.0,2012
primari,0.0,2012
physician,0.0,2012
rise,0.0,2012
preval,0.0,2012
chronic,0.0,2012
diseas,0.0,2012
and,0.0,2012
shift,0.0,2012
consum,0.0,2012
patient,0.0,2012
behavior,0.0,2012
some,0.0,2012
million,0.0,2012
american,0.0,2012
are,0.0,2012
expect,0.0,2012
to,0.0,2012
gain,0.5267,2012
coverag,0.0,2012
come,0.0,2012
year,0.0,2012
as,0.0,2012
result,0.0,2012
new,0.0,2012
legisl,0.0,2012
demograph,0.0,2012
despit,0.0,2012
reform,0.0,2012
cost,0.0,2012
project,0.0,2012
continu,0.0,2012
at,0.0,2012
unsustain,0.0,2012
pace,0.0,2012
put,0.0,2012
nation,0.0,2012
s,0.0,2012
long,0.0,2012
term,0.0,2012
fiscal,0.0,2012
risk,-0.2732,2012
we,0.0,2012
well,0.2732,2012
posit,0.0,2012
thrive,0.0,2012
environ,0.0,2012
achiev,0.0,2012
our,0.0,2012
purpos,0.0,2012
help,0.4019,2012
peopl,0.0,2012
on,0.0,2012
their,0.0,2012
path,0.0,2012
better,0.4404,2012
pharmaci,0.0,2012
innov,0.0,2012
compani,0.0,2012
unmatch,0.0,2012
breadth,0.0,2012
asset,0.3612,2012
bring,0.0,2012
solut,0.0,2012
marketplac,0.0,2012
these,0.0,2012
enhanc,0.0,2012
access,0.0,2012
lower,-0.296,2012
improv,0.0,2012
outcom,0.0,2012
they,0.0,2012
sought,0.0,2012
after,0.0,2012
provid,0.0,2012
payor,0.0,2012
alik,0.0,2012
pbm,0.0,2012
leader,0.0,2012
clinic,0.0,2012
specialti,0.0,2012
program,0.0,2012
has,0.0,2012
strong,0.5106,2012
medicar,0.0,2012
part,0.0,2012
d,0.0,2012
manag,0.0,2012
medicaid,0.0,2012
market,0.0,2012
retail,0.0,2012
presenc,0.0,2012
store,0.0,2012
count,0.0,2012
allow,0.2263,2012
us,0.0,2012
engag,0.0,2012
direct,0.0,2012
five,0.0,2012
custom,0.0,2012
daili,0.0,2012
addit,0.0,2012
minuteclin,0.0,2012
largest,0.0,2012
medic,0.0,2012
system,0.0,2012
enter,0.0,2012
expand,0.3182,2012
